DATE,VIXCLS
1990-01-07,18.6900000000000000
1990-01-14,21.9180000000000000
1990-01-21,24.3040000000000000
1990-01-28,25.7440000000000000
1990-02-04,25.6480000000000000
1990-02-11,24.1960000000000000
1990-02-18,22.1360000000000000
1990-02-25,23.2250000000000000
1990-03-04,22.2960000000000000
1990-03-11,20.3440000000000000
1990-03-18,19.4400000000000000
1990-03-25,20.1300000000000000
1990-04-01,19.7120000000000000
1990-04-08,21.6560000000000000
1990-04-15,20.3800000000000000
1990-04-22,21.9180000000000000
1990-04-29,21.8320000000000000
1990-05-06,18.4720000000000000
1990-05-13,18.6360000000000000
1990-05-20,18.3620000000000000
1990-05-27,17.3520000000000000
1990-06-03,17.6625000000000000
1990-06-10,17.8480000000000000
1990-06-17,16.7240000000000000
1990-06-24,16.4580000000000000
1990-07-01,16.2060000000000000
1990-07-08,16.5075000000000000
1990-07-15,16.8820000000000000
1990-07-22,17.3000000000000000
1990-07-29,21.4080000000000000
1990-08-05,22.6160000000000000
1990-08-12,29.4140000000000000
1990-08-19,25.5840000000000000
1990-08-26,31.2620000000000000
1990-09-02,29.1840000000000000
1990-09-09,29.2550000000000000
1990-09-16,29.1460000000000000
1990-09-23,28.9900000000000000
1990-09-30,29.0680000000000000
1990-10-07,27.7200000000000000
1990-10-14,31.1720000000000000
1990-10-21,30.3840000000000000
1990-10-28,28.5820000000000000
1990-11-04,30.4760000000000000
1990-11-11,29.5160000000000000
1990-11-18,23.3960000000000000
1990-11-25,20.7775000000000000
1990-12-02,22.9300000000000000
1990-12-09,22.0940000000000000
1990-12-16,23.1020000000000000
1990-12-23,23.3660000000000000
1990-12-30,24.5175000000000000
1991-01-06,27.0300000000000000
1991-01-13,31.3180000000000000
1991-01-20,31.6800000000000000
1991-01-27,23.6420000000000000
1991-02-03,21.9080000000000000
1991-02-10,22.5960000000000000
1991-02-17,21.3460000000000000
1991-02-24,20.9725000000000000
1991-03-03,21.4325000000000000
1991-03-10,20.7440000000000000
1991-03-17,17.1260000000000000
1991-03-24,16.2580000000000000
1991-03-31,16.6250000000000000
1991-04-07,17.6140000000000000
1991-04-14,18.5900000000000000
1991-04-21,15.9460000000000000
1991-04-28,16.9880000000000000
1991-05-05,17.8080000000000000
1991-05-12,17.5740000000000000
1991-05-19,17.5840000000000000
1991-05-26,16.1340000000000000
1991-06-02,15.8800000000000000
1991-06-09,16.6700000000000000
1991-06-16,17.0960000000000000
1991-06-23,16.4680000000000000
1991-06-30,18.3060000000000000
1991-07-07,18.5225000000000000
1991-07-14,18.9840000000000000
1991-07-21,16.8120000000000000
1991-07-28,16.2160000000000000
1991-08-04,15.4100000000000000
1991-08-11,15.6900000000000000
1991-08-18,15.2560000000000000
1991-08-25,16.9340000000000000
1991-09-01,14.9720000000000000
1991-09-08,16.9550000000000000
1991-09-15,17.6000000000000000
1991-09-22,17.5400000000000000
1991-09-29,15.9520000000000000
1991-10-06,15.8280000000000000
1991-10-13,18.0660000000000000
1991-10-20,15.9940000000000000
1991-10-27,16.1680000000000000
1991-11-03,15.5080000000000000
1991-11-10,16.1400000000000000
1991-11-17,15.6040000000000000
1991-11-24,19.8660000000000000
1991-12-01,20.4550000000000000
1991-12-08,19.7300000000000000
1991-12-15,19.4320000000000000
1991-12-22,17.8260000000000000
1991-12-29,15.8550000000000000
1992-01-05,18.6600000000000000
1992-01-12,18.8640000000000000
1992-01-19,17.2740000000000000
1992-01-26,16.7580000000000000
1992-02-02,17.3700000000000000
1992-02-09,18.3360000000000000
1992-02-16,17.6220000000000000
1992-02-23,17.2425000000000000
1992-03-01,16.6620000000000000
1992-03-08,18.0500000000000000
1992-03-15,19.2440000000000000
1992-03-22,17.0560000000000000
1992-03-29,16.3100000000000000
1992-04-05,16.4820000000000000
1992-04-12,18.0840000000000000
1992-04-19,15.7425000000000000
1992-04-26,15.9920000000000000
1992-05-03,16.1640000000000000
1992-05-10,16.5160000000000000
1992-05-17,15.2700000000000000
1992-05-24,13.8920000000000000
1992-05-31,14.1350000000000000
1992-06-07,14.3320000000000000
1992-06-14,15.8040000000000000
1992-06-21,16.5140000000000000
1992-06-28,14.9320000000000000
1992-07-05,13.4450000000000000
1992-07-12,14.9060000000000000
1992-07-19,12.9800000000000000
1992-07-26,13.1060000000000000
1992-08-02,13.4120000000000000
1992-08-09,13.8800000000000000
1992-08-16,14.8960000000000000
1992-08-23,14.4580000000000000
1992-08-30,14.6220000000000000
1992-09-06,13.1140000000000000
1992-09-13,13.1000000000000000
1992-09-20,13.8800000000000000
1992-09-27,13.8800000000000000
1992-10-04,15.7080000000000000
1992-10-11,20.1500000000000000
1992-10-18,17.9860000000000000
1992-10-25,16.6200000000000000
1992-11-01,16.0260000000000000
1992-11-08,16.0700000000000000
1992-11-15,14.3140000000000000
1992-11-22,14.4840000000000000
1992-11-29,12.7850000000000000
1992-12-06,12.4420000000000000
1992-12-13,12.2800000000000000
1992-12-20,12.2900000000000000
1992-12-27,11.6200000000000000
1993-01-03,12.4200000000000000
1993-01-10,13.7140000000000000
1993-01-17,12.3240000000000000
1993-01-24,11.7380000000000000
1993-01-31,11.8600000000000000
1993-02-07,12.3780000000000000
1993-02-14,13.0400000000000000
1993-02-21,15.5600000000000000
1993-02-28,14.2760000000000000
1993-03-07,13.3480000000000000
1993-03-14,14.8440000000000000
1993-03-21,14.2360000000000000
1993-03-28,12.6820000000000000
1993-04-04,12.9820000000000000
1993-04-11,13.7075000000000000
1993-04-18,11.5280000000000000
1993-04-25,12.4300000000000000
1993-05-02,13.5040000000000000
