Day,Barrels
4/1/2016,1322018
3/25/2016,1321574
3/18/2016,1320209
3/11/2016,1313377
3/4/2016,1311750
2/26/2016,1312140
2/19/2016,1302018
2/12/2016,1307078
2/5/2016,1303518
1/29/2016,1303094
1/22/2016,1293511
1/15/2016,1294608
1/8/2016,1288078
1/1/2016,1278051
12/25/2015,1269773
12/18/2015,1269935
12/11/2015,1275094
12/4/2015,1270276
11/27/2015,1273841
11/20/2015,1271706
11/13/2015,1269361
11/6/2015,1269121
10/30/2015,1266757
10/23/2015,1268660
10/16/2015,1272064
10/9/2015,1270600
10/2/2015,1267240
9/25/2015,1264708
9/18/2015,1261218
9/11/2015,1264248
9/4/2015,1255803
8/28/2015,1252526
8/21/2015,1246907
8/14/2015,1243962
8/7/2015,1243009
7/31/2015,1236992
7/24/2015,1237005
7/17/2015,1236879
7/10/2015,1233897
7/3/2015,1230939
6/26/2015,1220363
6/19/2015,1210028
6/12/2015,1216610
6/5/2015,1213870
5/29/2015,1213817
5/22/2015,1206389
5/15/2015,1204157
5/8/2015,1206646
5/1/2015,1212201
4/24/2015,1205988
4/17/2015,1198453
4/10/2015,1189307
4/3/2015,1182063
3/27/2015,1167195
3/20/2015,1163991
3/13/2015,1153514
3/6/2015,1146528
2/27/2015,1143418
2/20/2015,1141121
2/13/2015,1138901
2/6/2015,1139763
1/30/2015,1138099
1/23/2015,1125856
1/16/2015,1123888
1/9/2015,1121784
1/2/2015,1111801
12/26/2014,1106648
12/19/2014,1103824
12/12/2014,1097390
12/5/2014,1096205
11/28/2014,1088914
11/21/2014,1090051
11/14/2014,1094727
11/7/2014,1094691
10/31/2014,1100972
10/24/2014,1103401
10/17/2014,1111871
10/10/2014,1107479
10/3/2014,1106434
9/26/2014,1102727
9/19/2014,1108544
9/12/2014,1107620
9/5/2014,1102718
8/29/2014,1092964
8/22/2014,1091487
8/15/2014,1090065
8/8/2014,1090747
8/1/2014,1089228
7/25/2014,1097336
7/18/2014,1097829
7/11/2014,1092592
7/4/2014,1091366
6/27/2014,1086834
6/20/2014,1087274
6/13/2014,1082101
6/6/2014,1076058
5/30/2014,1070007
5/23/2014,1061212
5/16/2014,1058017
5/9/2014,1055940
5/2/2014,1052492
4/25/2014,1045072
4/18/2014,1037160
4/11/2014,1025138
4/4/2014,1010677
3/28/2014,1005298
3/21/2014,1006569
